name|typ|element|contest|pp|pwr|accuracy|
Sticky Web|Bug|Status|???|20|0|0|
Fell Stinger|Bug|Physical|???|25|30|100|
Phantom Force|Ghost|Physical|???|10|90|100|
Trick-or-Treat|Ghost|Status|???|20|0|100|
Noble Roar|Normal|Status|???|30|0|100|
Ion Deluge|Electric|Status|???|25|0|0|
Parabolic Charge|Electric|Special|???|20|50|100|
Forest's Curse|Grass|Status|???|20|0|100|
Petal Blizzard|Grass|Physical|???|15|90|100|
Freeze-Dry|Ice|Special|???|20|70|100|
Disarming Voice|Fairy|Special|???|15|40|0|
Parting Shot|Dark|Status|???|20|0|100|
Topsy-Turvy|Dark|Status|???|20|0|100|
Draining Kiss|Fairy|Special|???|10|50|100|
Crafty Shield|Fairy|Status|???|10|0|0|
Flower Shield|Fairy|Status|???|10|0|0|
Grassy Terrain|Grass|Status|???|10|0|0|
Misty Terrain|Fairy|Status|???|10|0|0|
Electrify|Electric|Status|???|20|0|0|
Play Rough|Fairy|Physical|???|10|90|90|
Fairy Wind|Fairy|Special|???|30|40|0|
Moonblast|Fairy|Special|???|15|95|100|
Boomburst|Normal|Special|???|10|140|100|
Fairy Lock|Fairy|Status|???|10|0|0|
King's Shield|Steel|Status|???|10|0|0|
Play Nice|Normal|Status|???|20|0|0|
Confide|Normal|Status|???|20|0|0|
Diamond Storm|Rock|Physical|???|5|100|95|
Steam Eruption|Water|Special|???|5|110|95|
Hyperspace Hole|Psychic|Special|???|5|80|0|
Water Shuriken|Water|Physical|???|20|15|100|
Mystical Fire|Fire|Special|???|10|65|100|
Spiky Shield|Grass|Status|???|10|0|0|
Aromatic Mist|Fairy|Status|???|20|0|0|
Eerie Impulse|Electric|Status|???|15|0|100|
Venom Drench|Poison|Status|???|20|0|100|
Powder|Bug|Status|???|20|0|100|
Geomancy|Fairy|Status|???|10|0|0|
Magnetic Flux|Electric|Status|???|20|0|0|
Happy Hour|Normal|Status|???|30|0|0|
Electric Terrain|Electric|Status|???|10|0|0|
Dazzling Gleam|Fairy|Special|???|10|80|100|
Celebrate|Normal|Status|???|40|0|0|
Hold Hands|Normal|Status|???|40|0|0|
Baby-Doll Eyes|Fairy|Status|???|30|0|100|
Nuzzle|Electric|Physical|???|20|20|100|
Hold Back|Normal|Physical|???|40|40|100|
Infestation|Bug|Special|???|20|20|100|
Power-Up Punch|Fighting|Physical|???|20|40|100|
Oblivion Wing|Flying|Special|???|10|80|100|
Thousand Arrows|Ground|Physical|???|10|90|100|
Thousand Waves|Ground|Physical|???|10|90|100|
Land's Wrath|Ground|Physical|???|10|90|100|
Light of Ruin|Fairy|Special|???|5|140|90|
